species_en,species_scientific,species_de
Cactus Wren,Campylorhynchus brunneicapillus,Kaktuszaunkönig
Giant Wren,Campylorhynchus chiapensis,Riesenzaunkönig
Fasciated Wren,Campylorhynchus fasciatus,Bindenzaunkönig
Bicolored Wren,Campylorhynchus griseus,Brauenzaunkönig
Spotted Wren,Campylorhynchus gularis,Bartzaunkönig
Boucard's Wren,Campylorhynchus jocosus,Harlekinzaunkönig
Gray-barred Wren,Campylorhynchus megalopterus,Graubinden-Zaunkönig
Stripe-backed Wren,Campylorhynchus nuchalis,Pantherzaunkönig
Rufous-naped Wren,Campylorhynchus rufinucha,Rotnacken-Zaunkönig
Thrush-like Wren,Campylorhynchus turdinus,Drosselzaunkönig
Yucatan Wren,Campylorhynchus yucatanicus,Yucatánzaunkönig
Band-backed Wren,Campylorhynchus zonatus,Tigerzaunkönig
Spruce Grouse,Canachites canadensis,Tannenhuhn
Coyote,Canis latrans,Kojote
Gray Wolf,Canis lupus,Wolf
Isthmian Wren,Cantorchilus elutus,Panamazaunkönig
Fawn-breasted Wren,Cantorchilus guarayanus,Guarayoszaunkönig
Stripe-throated Wren,Cantorchilus leucopogon,Streifenkehl-Zaunkönig
Buff-breasted Wren,Cantorchilus leucotis,Weißohr-Zaunkönig
Long-billed Wren,Cantorchilus longirostris,Langschnabel-Zaunkönig
Cabanis's Wren,Cantorchilus modestus,Cabaniszaunkönig
Bay Wren,Cantorchilus nigricapillus,Kastanienzaunkönig
Riverside Wren,Cantorchilus semibadius,Uferzaunkönig
Superciliated Wren,Cantorchilus superciliaris,Küstenzaunkönig
Stripe-breasted Wren,Cantorchilus thoracicus,Streifenbrust-Zaunkönig
Canebrake Wren,Cantorchilus zeledoni,Zeledonzaunkönig
Gilded Barbet,Capito auratus,Goldbartvogel
Scarlet-crowned Barbet,Capito aurovirens,Kappenbartvogel
Black-girdled Barbet,Capito dayi,Kehlbinden-Bartvogel
White-mantled Barbet,Capito hypoleucus,Weißmantel-Bartvogel
Black-spotted Barbet,Capito niger,Tupfenbartvogel
Five-colored Barbet,Capito quinticolor,Fünffarben-Bartvogel
Orange-fronted Barbet,Capito squamatus,Weißnacken-Bartvogel
Scarlet-banded Barbet,Capito wallacei,Loretobartvogel
Savanna Nightjar,Caprimulgus affinis,Savannennachtschwalbe
Indian Nightjar,Caprimulgus asiaticus,Indiennachtschwalbe
Jerdon's Nightjar,Caprimulgus atripennis,Maharadschanachtschwalbe
Slender-tailed Nightjar,Caprimulgus clarus,Kurzschleppen-Nachtschwalbe
Long-tailed Nightjar,Caprimulgus climacurus,Schleppennachtschwalbe
Eurasian Nightjar,Caprimulgus europaeus,Nachtschwalbe
Square-tailed Nightjar,Caprimulgus fossii,Gartennachtschwalbe
Jungle Nightjar,Caprimulgus indicus,Dschungelnachtschwalbe
Gray Nightjar,Caprimulgus jotaka,Graunachtschwalbe
Large-tailed Nightjar,Caprimulgus macrurus,Langschwanz-Nachtschwalbe
Madagascar Nightjar,Caprimulgus madagascariensis,Madagaskarnachtschwalbe
Philippine Nightjar,Caprimulgus manillensis,Philippinennachtschwalbe
Swamp Nightjar,Caprimulgus natalensis,Natalnachtschwalbe
Black-shouldered Nightjar,Caprimulgus nigriscapularis,Black-shouldered Nightjar
Fiery-necked Nightjar,Caprimulgus pectoralis,Pfeifnachtschwalbe
Abyssinian Nightjar,Caprimulgus poliocephalus,Höhennachtschwalbe
Red-necked Nightjar,Caprimulgus ruficollis,Rothals-Nachtschwalbe
Rufous-cheeked Nightjar,Caprimulgus rufigena,Rostwangen-Nachtschwalbe
Freckled Nightjar,Caprimulgus tristigma,Fleckennachtschwalbe
Yellow Tyrannulet,Capsiempis flaveola,Zitronentyrann
Crested Caracara,Caracara plancus,Schopfkarakara
Canada Warbler,Cardellina canadensis,Kanadawaldsänger
Wilson's Warbler,Cardellina pusilla,Mönchswaldsänger
Red Warbler,Cardellina rubra,Purpurwaldsänger
Red-faced Warbler,Cardellina rubrifrons,Dreifarben-Waldsänger
Pink-headed Warbler,Cardellina versicolor,Rosenwaldsänger
Northern Cardinal,Cardinalis cardinalis,Rotkardinal
Vermilion Cardinal,Cardinalis phoeniceus,Purpurkardinal
Pyrrhuloxia,Cardinalis sinuatus,Schmalschnabelkardinal
European Goldfinch,Carduelis carduelis,Stieglitz
Citril Finch,Carduelis citrinella,Zitronenzeisig
Corsican Finch,Carduelis corsicana,Korsenzeisig
Red-legged Seriema,Cariama cristata,Rotfußseriema
Bornean Ground-Cuckoo,Carpococcyx radiceus,Laufkuckuck
Coral-billed Ground-Cuckoo,Carpococcyx renauldi,Korallenschnabelkuckuck
Chinese White-browed Rosefinch,Carpodacus dubius,Weißbrauengimpel
Common Rosefinch,Carpodacus erythrinus,Karmingimpel
Red-fronted Rosefinch,Carpodacus puniceus,Felsengimpel
Pink-browed Rosefinch,Carpodacus rodochroa,Rosenbrauengimpel
Great Rosefinch,Carpodacus rubicilla,Berggimpel
Streaked Rosefinch,Carpodacus rubicilloides,Gebirgsgimpel
Long-tailed Rosefinch,Carpodacus sibiricus,Meisengimpel
Sinai Rosefinch,Carpodacus synoicus,Einödgimpel
Himalayan White-browed Rosefinch,Carpodacus thura,Thuragimpel
Hooded Berryeater,Carpornis cucullata,Braunmantel-Beerenfresser
Black-headed Berryeater,Carpornis melanocephala,Olivmantel-Beerenfresser
Pale Rockfinch,Carpospiza brachydactyla,Fahlsperling
Golden Monarch,Carterornis chrysomela,Goldmonarch
White-eared Monarch,Carterornis leucotis,Weißohrmonarch
White-naped Monarch,Carterornis pileatus,Weißhalsmonarch
Yellow-green Grosbeak,Caryothraustes canadensis,Gelbbauchkardinal
Black-faced Grosbeak,Caryothraustes poliogaster,Graubauchkardinal
Rufous Casiornis,Casiornis rufus,Zimtrücken-Röteltyrann
Yellow-winged Cacique,Cassiculus melanicterus,Haubenkassike
Southern Cassowary,Casuarius casuarius,Helmkasuar
Plushcap,Catamblyrhynchus diadema,Plüschkopftangare
Band-tailed Seedeater,Catamenia analis,Spiegelsamenfresser
Paramo Seedeater,Catamenia homochroa,Schlankschnabel-Samenfresser
Plain-colored Seedeater,Catamenia inornata,Schlichtsamenfresser
Turkey Vulture,Cathartes aura,Truthahngeier
Orange-billed Nightingale-Thrush,Catharus aurantiirostris,Goldschnabel-Musendrossel
Bicknell's Thrush,Catharus bicknelli,Bicknellmusendrossel
Yellow-throated Nightingale-Thrush,Catharus dryas,Tropfenbrust-Musendrossel
Ruddy-capped Nightingale-Thrush,Catharus frantzii,Bergmusendrossel
Slaty-backed Nightingale-Thrush,Catharus fuscater,Graurücken-Musendrossel
Veery,Catharus fuscescens,Weidenmusendrossel
Black-billed Nightingale-Thrush,Catharus gracilirostris,Graukehl-Musendrossel
Hermit Thrush,Catharus guttatus,Einsiedler-Musendrossel
Speckled Nightingale-Thrush,Catharus maculatus,Sclatermusendrossel
Black-headed Nightingale-Thrush,Catharus mexicanus,Schwarzkopf-Musendrossel
Gray-cheeked Thrush,Catharus minimus,Grauwangen-Musendrossel
Russet Nightingale-Thrush,Catharus occidentalis,Braunkopf-Musendrossel
Swainson's Thrush,Catharus ustulatus,Zwergmusendrossel
Canyon Wren,Catherpes mexicanus,Schluchtenzaunkönig
Cheer Pheasant,Catreus wallichii,Schopffasan
Lesser Striped Swallow,Cecropis abyssinica,Zwergrötelschwalbe
Greater Striped Swallow,Cecropis cucullata,Kaprötelschwalbe
Red-rumped Swallow,Cecropis daurica,Rötelschwalbe
Rufous-chested Swallow,Cecropis semirufa,Rostbrust-Rötelschwalbe
Striated Swallow,Cecropis striolata,Strichelrötelschwalbe
Chestnut-colored Woodpecker,Celeus castaneus,Kastanienspecht
Chestnut Woodpecker,Celeus elegans,Fahlkopfspecht
Blond-crested Woodpecker,Celeus flavescens,Gelbschopfspecht
Cream-colored Woodpecker,Celeus flavus,Strohspecht
Helmeted Woodpecker,Celeus galeatus,Wellenohrspecht
Scale-breasted Woodpecker,Celeus grammicus,Gelbflankenspecht
Cinnamon Woodpecker,Celeus loricatus,Rotkehlspecht
Pale-crested Woodpecker,Celeus lugubris,Blassschopfspecht
Kaempfer's Woodpecker,Celeus obrieni,Caatingaspecht
Ochre-backed Woodpecker,Celeus ochraceus,Blondschopfspecht
Rufous-headed Woodpecker,Celeus spectabilis,Zimtkopfspecht
Ringed Woodpecker,Celeus torquatus,Schwarzbrustspecht
Waved Woodpecker,Celeus undatus,Olivbürzelspecht
Greater Sage-Grouse,Centrocercus urophasianus,Beifußhuhn
Baird's Sparrow,Centronyx bairdii,Bairdammer
Henslow's Sparrow,Centronyx henslowii,Henslowammer
Andaman Coucal,Centropus andamanensis,Andamanenkuckuck
Lesser Coucal,Centropus bengalensis,Bengalenkuckuck
Bay Coucal,Centropus celebensis,Celebeskuckuck
Green-billed Coucal,Centropus chlororhynchos,Ceylonkuckuck
Black-throated Coucal,Centropus leucogaster,Weißbauchkuckuck
Black-faced Coucal,Centropus melanops,Maskenkuckuck
Greater Black Coucal,Centropus menbeki,Weißschnabelkuckuck
Buff-headed Coucal,Centropus milo,Blasskopfkuckuck
Blue-headed Coucal,Centropus monachus,Blaukopfkuckuck
Pheasant Coucal,Centropus phasianinus,Fasanschwanzkuckuck
Short-toed Coucal,Centropus rectunguis,Kurzspornkuckuck
Senegal Coucal,Centropus senegalensis,Spornkuckuck
Greater Coucal,Centropus sinensis,Heckenkuckuck
White-browed Coucal,Centropus superciliosus,Weißbrauenkuckuck
Malagasy Coucal,Centropus toulou,Tulukuckuck
Philippine Coucal,Centropus viridis,Grünkuckuck
Long-wattled Umbrellabird,Cephalopterus penduliger,Langlappen-Schirmvogel
Pigeon Guillemot,Cepphus columba,Taubenteiste
Black Guillemot,Cepphus grylle,Gryllteiste
Black-casqued Hornbill,Ceratogymna atrata,Schwarzhelm-Hornvogel
Round-tailed Manakin,Ceratopipra chloromeros,Rundschwanzpipra
Scarlet-horned Manakin,Ceratopipra cornuta,Rotschopfpipra
Golden-headed Manakin,Ceratopipra erythrocephala,Gelbkopfpipra
Red-capped Manakin,Ceratopipra mentalis,Gelbhosenpipra
Red-headed Manakin,Ceratopipra rubrocapilla,Rotkopfpipra
Sharp-tailed Ibis,Cercibis oxycerca,Spitzschwanzibis
Dusky Long-tailed Cuckoo,Cercococcyx mechowi,Schweifkuckuck
Barred Long-tailed Cuckoo,Cercococcyx montanus,Bergkuckuck
Olive Long-tailed Cuckoo,Cercococcyx olivinus,Olivkuckuck
Rio de Janeiro Antbird,Cercomacra brasiliana,Rio-de-Janeiro-Ameisenfänger
Rio Branco Antbird,Cercomacra carbonaria,Rio-Branco-Ameisenfänger
Gray Antbird,Cercomacra cinerascens,Aschgrau-Ameisenfänger
Bananal Antbird,Cercomacra ferdinandi,Bananalameisenfänger
Manu Antbird,Cercomacra manu,Manuameisenfänger
Mato Grosso Antbird,Cercomacra melanaria,Mato-Grosso-Ameisenfänger
Jet Antbird,Cercomacra nigricans,Schwarzbauch-Ameisenfänger
Riparian Antbird,Cercomacroides fuscicauda,Flussufer-Ameisenfänger
Willis's Antbird,Cercomacroides laeta,Amazonasameisenfänger
Blackish Antbird,Cercomacroides nigrescens,Schwarzgrau-Ameisenfänger
Parker's Antbird,Cercomacroides parkeri,Parkerameisenfänger
Black Antbird,Cercomacroides serva,Schwarzbrust-Ameisenfänger
Dusky Antbird,Cercomacroides tyrannina,Grauameisenfänger
Miombo Scrub-Robin,Cercotrichas barbata,Bartheckensänger
Karoo Scrub-Robin,Cercotrichas coryphoeus,Karooheckensänger
Rufous-tailed Scrub-Robin,Cercotrichas galactotes,Heckensänger
Brown-backed Scrub-Robin,Cercotrichas hartlaubi,Hartlaubheckensänger
Red-backed Scrub-Robin,Cercotrichas leucophrys,Weißbrauen-Heckensänger
Kalahari Scrub-Robin,Cercotrichas paena,Kalahariheckensänger
Black Scrub-Robin,Cercotrichas podobe,Rußheckensänger
Bearded Scrub-Robin,Cercotrichas quadrivirgata,Streifenkopf-Heckensänger
Brown Scrub-Robin,Cercotrichas signata,Natalheckensänger
Brown Creeper,Certhia americana,Amerikabaumläufer
Short-toed Treecreeper,Certhia brachydactyla,Gartenbaumläufer
Sikkim Treecreeper,Certhia discolor,Sikkimbaumläufer
Eurasian Treecreeper,Certhia familiaris,Waldbaumläufer
Bar-tailed Treecreeper,Certhia himalayana,Bänderschwanz-Baumläufer
Hodgson's Treecreeper,Certhia hodgsoni,Himalajabaumläufer
Hume's Treecreeper,Certhia manipurensis,Manipurbaumläufer
Spot-throated Woodcreeper,Certhiasomus stictolaemus,Kehlflecken-Baumsteiger
Yellow-chinned Spinetail,Certhiaxis cinnamomeus,Gelbkinn-Riedschlüpfer
Red-and-white Spinetail,Certhiaxis mustelinus,Weißbauch-Riedschlüpfer
Short-clawed Lark,Certhilauda chuana,Akazien-Langschnabellerche
Eastern Long-billed Lark,Certhilauda semitorquata,Transkei-Langschnabellerche
Karoo Long-billed Lark,Certhilauda subcoronata,Karoo-Langschnabellerche
Pied Honeyeater,Certhionyx variegatus,Elsterhonigfresser
Pied Kingfisher,Ceryle rudis,Graufischer
Gray-sided Bush Warbler,Cettia brunnifrons,Himalajaseidensänger
Chestnut-headed Tesia,Cettia castaneocoronata,Rotkopf-Seidensänger
Cetti's Warbler,Cettia cetti,Seidensänger
Chestnut-crowned Bush Warbler,Cettia major,Rhododendron-Seidensänger
Blue Malkoha,Ceuthmochares aereus,Blauerzkuckuck
Green Malkoha,Ceuthmochares australis,Grünerzkuckuck
Azure Kingfisher,Ceyx azureus,Azurzwergfischer
Black-backed Dwarf-Kingfisher,Ceyx erithaca,Dschungelzwergfischer
White-bellied Woodstar,Chaetocercus mulsant,Weißbauchelfe
Cape Rockjumper,Chaetops frenatus,Kapfelsenspringer
Short-tailed Swift,Chaetura brachyura,Stutzschwanzsegler
Chapman's Swift,Chaetura chapmani,Chapmansegler
Gray-rumped Swift,Chaetura cinereiventris,Graubürzelsegler
Sick's Swift,Chaetura meridionalis,Sicksegler
Chimney Swift,Chaetura pelagica,Schornsteinsegler
Band-rumped Swift,Chaetura spinicaudus,Dornensegler
Vaux's Swift,Chaetura vauxi,Graubauchsegler
Amethyst Sunbird,Chalcomitra amethystina,Amethystglanzköpfchen
Scarlet-chested Sunbird,Chalcomitra senegalensis,Rotbrust-Glanzköpfchen
Ruby-cheeked Sunbird,Chalcoparia singalensis,Rubinwangen-Nektarvogel
Asian Emerald Dove,Chalcophaps indica,Glanztaube
Pacific Emerald Dove,Chalcophaps longirostris,Grünflügeltaube
Stephan's Dove,Chalcophaps stephani,Stephantaube
White-vented Plumeleteer,Chalybura buffonii,Blauschwanz-Buffonkolibri
Bronze-tailed Plumeleteer,Chalybura urochrysia,Bronzeschwanz-Buffonkolibri
Wrentit,Chamaea fasciata,Chaparralgrasmücke
Sickle-winged Guan,Chamaepetes goudotii,Sichelguan
Black Guan,Chamaepetes unicolor,Schwarzguan
White-chested Alethe,Chamaetylas fuelleborni,Weißbrust-Braunschwanz
Brown-chested Alethe,Chamaetylas poliocephala,Braunbrust-Braunschwanz
Short-tailed Antthrush,Chamaeza campanisona,Streifenbrust-Ameisendrossel
Such's Antthrush,Chamaeza meruloides,Blasskehl-Ameisendrossel
Barred Antthrush,Chamaeza mollissima,Bindenbrust-Ameisendrossel
Striated Antthrush,Chamaeza nobilis,Weißkehl-Ameisendrossel
Rufous-tailed Antthrush,Chamaeza ruficauda,Rostschwanz-Ameisendrossel
Schwartz's Antthrush,Chamaeza turdina,Schuppenbauch-Ameisendrossel
Kentish Plover,Charadrius alexandrinus,Seeregenpfeifer
Double-banded Plover,Charadrius bicinctus,Doppelband-Regenpfeifer
Collared Plover,Charadrius collaris,Schlankschnabel-Regenpfeifer
Little Ringed Plover,Charadrius dubius,Flussregenpfeifer
Two-banded Plover,Charadrius falklandicus,Falkland-Regenpfeifer
Common Ringed Plover,Charadrius hiaticula,Sandregenpfeifer
Javan Plover,Charadrius javanicus,Javaregenpfeifer
Greater Sand-Plover,Charadrius leschenaultii,Wüstenregenpfeifer
Piping Plover,Charadrius melodus,Flötenregenpfeifer
Rufous-chested Dotterel,Charadrius modestus,Rotbrust-Regenpfeifer
Lesser Sand-Plover,Charadrius mongolus,Mongolenregenpfeifer
Mountain Plover,Charadrius montanus,Bergregenpfeifer
Eurasian Dotterel,Charadrius morinellus,Mornellregenpfeifer
Snowy Plover,Charadrius nivosus,Schneeregenpfeifer
Malaysian Plover,Charadrius peronii,Malaienregenpfeifer
Long-billed Plover,Charadrius placidus,Ussuriregenpfeifer
Semipalmated Plover,Charadrius semipalmatus,Eskimoregenpfeifer
Three-banded Plover,Charadrius tricollaris,Dreiband-Regenpfeifer
Oriental Plover,Charadrius veredus,Steppenregenpfeifer
Killdeer,Charadrius vociferus,Keilschwanz-Regenpfeifer
Wilson's Plover,Charadrius wilsonia,Wilsonregenpfeifer
Coal-crested Finch,Charitospiza eucosma,Meisentangare
Papuan Lorikeet,Charmosyna papou,Papualori
Oahu Elepaio,Chasiempis ibidis,Oahumonarch
Hawaii Elepaio,Chasiempis sandwichensis,Hawaiimonarch
Kauai Elepaio,Chasiempis sclateri,Kauaimonarch
Northern Screamer,Chauna chavaria,Weißwangen-Wehrvogel
Southern Screamer,Chauna torquata,Halsband-Wehrvogel
Swallow-winged Puffbird,Chelidoptera tenebrosa,Schwalbenfaulvogel
Yellow-bellied Fairy-Fantail,Chelidorhynx hypoxanthus,Goldbauch-Fächerschnäpper
Maned Duck,Chenonetta jubata,Mähnenente
Spike-heeled Lark,Chersomanes albofasciata,Zirplerche
Dupont's Lark,Chersophilus duponti,Dupontlerche
Glittering-throated Emerald,Chionomesa fimbriata,Glitzerkehlamazilie
Sapphire-spangled Emerald,Chionomesa lactea,Saphiramazilie
Yungas Manakin,Chiroxiphia boliviana,Yungaspipra
Swallow-tailed Manakin,Chiroxiphia caudata,Blaubrustpipra
Lance-tailed Manakin,Chiroxiphia lanceolata,Lanzettschwanzpipra
Long-tailed Manakin,Chiroxiphia linearis,Langschwanzpipra
Blue-backed Manakin,Chiroxiphia pareola,Prachtpipra
Spotted Bowerbird,Chlamydera maculata,Fleckenlaubenvogel
Great Bowerbird,Chlamydera nuchalis,Graulaubenvogel
Black-fronted Tern,Chlidonias albostriatus,Graubauch-Seeschwalbe
Whiskered Tern,Chlidonias hybrida,Weißbart-Seeschwalbe
White-winged Tern,Chlidonias leucopterus,Weißflügel-Seeschwalbe
Black Tern,Chlidonias niger,Trauerseeschwalbe
Upland Goose,Chloephaga picta,Magellangans
White-bellied Emerald,Chlorestes candida,Bronzekopfamazilie
White-chinned Sapphire,Chlorestes cyanus,Weißkinn-Saphirkolibri
Blue-throated Goldentail,Chlorestes eliciae,Goldschwanz-Saphirkolibri
Violet-bellied Hummingbird,Chlorestes julie,Juliakolibri
Blue-chinned Sapphire,Chlorestes notata,Blaukinn-Smaragdkolibri
European Greenfinch,Chloris chloris,Grünfink
Vietnamese Greenfinch,Chloris monguilloti,Annamgrünfink
Oriental Greenfinch,Chloris sinica,Chinagrünfink
Yellow-breasted Greenfinch,Chloris spinoides,Himalajagrünfink
American Pygmy Kingfisher,Chloroceryle aenea,Erzfischer
Amazon Kingfisher,Chloroceryle amazona,Amazonasfischer
Green Kingfisher,Chloroceryle americana,Grünfischer
Green-and-rufous Kingfisher,Chloroceryle inda,Zweifarbenfischer
Glistening-green Tanager,Chlorochrysa phoenicotis,Rotohr-Bunttangare
Yellow-bellied Greenbul,Chlorocichla flaviventris,Gelbbauchbülbül
Joyful Greenbul,Chlorocichla laetissima,Dotterbülbül
Simple Greenbul,Chlorocichla simplex,Hartlaubbülbül
Oahu Amakihi,Chlorodrepanis flava,Oahu-Amakihikleidervogel
Kauai Amakihi,Chlorodrepanis stejnegeri,Kauai-Amakihikleidervogel
Hawaii Amakihi,Chlorodrepanis virens,Hawaii-Amakihikleidervogel
Green Honeycreeper,Chlorophanes spiza,Kappennaschvogel
Golden-browed Chlorophonia,Chlorophonia callophrys,Goldbrauenorganist
Blue-naped Chlorophonia,Chlorophonia cyanea,Grünorganist
Golden-rumped Euphonia,Chlorophonia cyanocephala,Goldbürzelorganist
Elegant Euphonia,Chlorophonia elegantissima,Blaukappenorganist
Yellow-collared Chlorophonia,Chlorophonia flavirostris,Halsbandorganist
Antillean Euphonia,Chlorophonia musica,Hispaniolaorganist
Blue-crowned Chlorophonia,Chlorophonia occipitalis,Blauscheitelorganist
Chestnut-breasted Chlorophonia,Chlorophonia pyrrhophrys,Schwarzbrauenorganist
Cardinal Woodpecker,Chloropicus fuscescens,Kardinalspecht
African Gray Woodpecker,Chloropicus goertae,Graubrustspecht
Olive Woodpecker,Chloropicus griseocephalus,Goldrückenspecht
Bearded Woodpecker,Chloropicus namaquus,Namaspecht
Mountain Gray Woodpecker,Chloropicus spodocephalus,Graukopfspecht
Golden-fronted Leafbird,Chloropsis aurifrons,Goldstirn-Blattvogel
Blue-winged Leafbird,Chloropsis cochinchinensis,Javablattvogel
Lesser Green Leafbird,Chloropsis cyanopogon,Blaubart-Blattvogel
Orange-bellied Leafbird,Chloropsis hardwickii,Orangebauch-Blattvogel
Jerdon's Leafbird,Chloropsis jerdoni,Jerdonblattvogel
Greater Green Leafbird,Chloropsis sonnerati,Dickschnabel-Blattvogel
Grass-green Tanager,Chlorornis riefferii,Papageitangare
Ashy-throated Chlorospingus,Chlorospingus canigularis,Graukehl-Grünammer
Yellow-throated Chlorospingus,Chlorospingus flavigularis,Gelbkehl-Grünammer
Common Chlorospingus,Chlorospingus flavopectus,Finkengrünammer
Sooty-capped Chlorospingus,Chlorospingus pileatus,Weißbrauen-Grünammer
Dusky Chlorospingus,Chlorospingus semifuscus,Graubrust-Grünammer
Red-billed Emerald,Chlorostilbon gibsoni,Kolumbiensmaragdkolibri
Glittering-bellied Emerald,Chlorostilbon lucidus,Goldbauch-Smaragdkolibri
Blue-tailed Emerald,Chlorostilbon mellisugus,Blauschwanz-Smaragdkolibri
Carmiol's Tanager,Chlorothraupis carmioli,Carmiolkardinal
Lemon-spectacled Tanager,Chlorothraupis olivacea,Gelbbrauenkardinal
Ochre-breasted Tanager,Chlorothraupis stolzmanni,Ockerbrustkardinal
Brown Parrotbill,Cholornis unicolor,Einfarb-Papageimeise
Lark Sparrow,Chondestes grammacus,Rainammer
Hook-billed Kite,Chondrohierax uncinatus,Langschnabelweih
Lesser Nighthawk,Chordeiles acutipennis,Texasnachtschwalbe
Antillean Nighthawk,Chordeiles gundlachii,Antillennachtschwalbe
Common Nighthawk,Chordeiles minor,Falkennachtschwalbe
Nacunda Nighthawk,Chordeiles nacunda,Weißbauch-Nachtschwalbe
Least Nighthawk,Chordeiles pusillus,Gnomennachtschwalbe
Brown-headed Gull,Chroicocephalus brunnicephalus,Braunkopfmöwe
Gray-hooded Gull,Chroicocephalus cirrocephalus,Graukopfmöwe
Slender-billed Gull,Chroicocephalus genei,Dünnschnabelmöwe
Brown-hooded Gull,Chroicocephalus maculipennis,Patagonienmöwe
Silver Gull,Chroicocephalus novaehollandiae,Silberkopfmöwe
Bonaparte's Gull,Chroicocephalus philadelphia,Bonapartemöwe
Black-headed Gull,Chroicocephalus ridibundus,Lachmöwe
Andean Gull,Chroicocephalus serranus,Andenmöwe
Horsfield's Bronze-Cuckoo,Chrysococcyx basalis,Rotschwanzkuckuck
Dideric Cuckoo,Chrysococcyx caprius,Goldkuckuck
African Emerald Cuckoo,Chrysococcyx cupreus,Smaragdkuckuck
Klaas's Cuckoo,Chrysococcyx klaas,Klaaskuckuck
Shining Bronze-Cuckoo,Chrysococcyx lucidus,Glanzbronzekuckuck
Asian Emerald Cuckoo,Chrysococcyx maculatus,Prachtkuckuck
Little Bronze-Cuckoo,Chrysococcyx minutillus,Grünscheitel-Bronzekuckuck
Black-eared Cuckoo,Chrysococcyx osculans,Schwarzohrkuckuck
Violet Cuckoo,Chrysococcyx xanthorhynchus,Amethystkuckuck
White-naped Woodpecker,Chrysocolaptes festivus,Goldschulterspecht
Greater Flameback,Chrysocolaptes guttacristatus,Goldmantel-Sultanspecht
Ruby-topaz Hummingbird,Chrysolampis mosquitus,Moskitokolibri
Lady Amherst's Pheasant,Chrysolophus amherstiae,Diamantfasan
Golden Pheasant,Chrysolophus pictus,Goldfasan
Jerdon's Babbler,Chrysomma altirostre,Jerdongrasmücke
Yellow-eyed Babbler,Chrysomma sinense,Goldaugen-Grasmücke
Yellow-hooded Blackbird,Chrysomus icterocephalus,Gelbkopfstärling
Chestnut-capped Blackbird,Chrysomus ruficapillus,Braunkopfstärling
Greater Yellownape,Chrysophlegma flavinucha,Gelbnackenspecht
Checker-throated Woodpecker,Chrysophlegma mentale,Tropfenkehlspecht
Banded Woodpecker,Chrysophlegma miniaceum,Mennigspecht
Black-and-yellow Tanager,Chrysothlypis chrysomelas,Zitronentangare
Scarlet-and-white Tanager,Chrysothlypis salmoni,Seidenflankentangare
Golden-tailed Sapphire,Chrysuronia oenone,Bronzeschwanz-Saphirkolibri
Versicolored Emerald,Chrysuronia versicolor,Glanzamazilie
Black-legged Seriema,Chunga burmeisteri,Schwarzfußseriema
Rufous-banded Owl,Ciccaba albitarsis,Rufous-banded Owl
Black-banded Owl,Ciccaba huhula,Black-banded Owl
Black-and-white Owl,Ciccaba nigrolineata,Black-and-white Owl
Mottled Owl,Ciccaba virgata,Mottled Owl
Collared Palm-Thrush,Cichladusa arquata,Morgenrötel
Spotted Morning-Thrush,Cichladusa guttata,Tropfenrötel
Pale-browed Treehunter,Cichlocolaptes leucophrus,Zimtschwanz-Blattspäher
Rufous-brown Solitaire,Cichlopsis leucogenys,Rostrückenklarino
Magnificent Bird-of-Paradise,Cicinnurus magnificus,Sichelschwanz-Paradiesvogel
King Bird-of-Paradise,Cicinnurus regius,Königsparadiesvogel
Wilson's Bird-of-Paradise,Cicinnurus respublica,Nacktkopf-Paradiesvogel
White Stork,Ciconia ciconia,Weißstorch
Black Stork,Ciconia nigra,Schwarzstorch
Blue-fronted Robin,Cinclidium frontale,Blauschmätzer
Gray Trembler,Cinclocerthia gutturalis,Grauzitterdrossel
Chestnut-winged Cinclodes,Cinclodes albidiventris,Zimtflügel-Uferwipper
Cream-winged Cinclodes,Cinclodes albiventris,Blassbauch-Uferwipper
Stout-billed Cinclodes,Cinclodes excelsior,Schuppenbrust-Uferwipper
Buff-winged Cinclodes,Cinclodes fuscus,Kurzschnabel-Uferwipper
Seaside Cinclodes,Cinclodes nigrofumosus,Stricheluferwipper
Gray-flanked Cinclodes,Cinclodes oustaleti,Grauflanken-Uferwipper
Long-tailed Cinclodes,Cinclodes pabsti,Langschwanz-Uferwipper
Dark-bellied Cinclodes,Cinclodes patagonicus,Streifenbrust-Uferwipper
Brown Songlark,Cincloramphus cruralis,Schwarzbauch-Buschsänger
Papuan Grassbird,Cincloramphus macrurus,Papuabuschsänger
Rufous Songlark,Cincloramphus mathewsi,Rostbürzel-Buschsänger
Tawny Grassbird,Cincloramphus timoriensis,Rostkopf-Buschsänger
Painted Quail-thrush,Cinclosoma ajax,Ajaxflöter
Chestnut-breasted Quail-thrush,Cinclosoma castaneothorax,Kastanienbrustflöter
Spotted Quail-thrush,Cinclosoma punctatum,Fleckenflöter
White-throated Dipper,Cinclus cinclus,Wasseramsel
American Dipper,Cinclus mexicanus,Grauwasseramsel
Brown Dipper,Cinclus pallasii,Pallaswasseramsel
Fulvous Wren,Cinnycerthia fulva,Sepiazaunkönig
Sharpe's Wren,Cinnycerthia olivascens,Rostzaunkönig
Peruvian Wren,Cinnycerthia peruana,Peruzaunkönig
Rufous Wren,Cinnycerthia unirufa,Einfarb-Zaunkönig
Violet-backed Starling,Cinnyricinclus leucogaster,Amethystglanzstar
