species_en,species_scientific,species_de
Unspotted Saw-whet Owl,Aegolius ridgwayi,Ridgwaykauz
Australian Owlet-nightjar,Aegotheles cristatus,Baumhöhlenschwalm
Cinereous Vulture,Aegypius monachus,Mönchsgeier
Mariana Swiftlet,Aerodramus bartschi,Marianensalangane
White-nest Swiftlet,Aerodramus fuciphagus,Weißnestsalangane
Black-nest Swiftlet,Aerodramus maximus,Schwarznestsalangane
Andean Swift,Aeronautes andecolus,Andensegler
White-tipped Swift,Aeronautes montivagus,Bergsegler
White-throated Swift,Aeronautes saxatalis,Weißbrustsegler
Least Auklet,Aethia pusilla,Zwergalk
Whiskered Auklet,Aethia pygmaea,Bartalk
Fork-tailed Sunbird,Aethopyga christinae,Hainannektarvogel
Mrs. Gould's Sunbird,Aethopyga gouldiae,Gouldnektarvogel
Fire-tailed Sunbird,Aethopyga ignicauda,Feuerschwanz-Nektarvogel
Green-tailed Sunbird,Aethopyga nipalensis,Grünschwanz-Nektarvogel
Black-throated Sunbird,Aethopyga saturata,Schwarzkehl-Nektarvogel
Crimson Sunbird,Aethopyga siparaja,Karmesinnektarvogel
Temminck's Sunbird,Aethopyga temminckii,Temmincknektarvogel
Vigors's Sunbird,Aethopyga vigorsii,Graubauch-Nektarvogel
Gray-headed Lovebird,Agapornis canus,Grauköpfchen
Fischer's Lovebird,Agapornis fischeri,Pfirsichköpfchen
Yellow-collared Lovebird,Agapornis personatus,Schwarzköpfchen
Rosy-faced Lovebird,Agapornis roseicollis,Rosenköpfchen
Black-winged Lovebird,Agapornis taranta,Tarantapapagei
Grayish Baywing,Agelaioides badius,Graustärling
Red-winged Blackbird,Agelaius phoeniceus,Rotflügelstärling
Tricolored Blackbird,Agelaius tricolor,Dreifarbenstärling
Unicolored Blackbird,Agelasticus cyanopus,Einfarbstärling
Yellow-winged Blackbird,Agelasticus thilius,Goldschulterstärling
Pale-eyed Blackbird,Agelasticus xanthophthalmus,Gelbaugenstärling
Violet-tailed Sylph,Aglaiocercus coelestis,Langschwanzsylphe
